Ticker,Signal 2,Signal 1
ABB.NS,No,No
AUROPHARMA.NS,Yes,Yes
BAJAJFINSV.NS,No,No
CIPLA.NS,Yes,No
CROMPTON.NS,Yes,No
GAIL.NS,No,Yes
GNFC.NS,Yes,No
HINDCOPPER.NS,No,Yes
INDHOTEL.NS,No,No
JUBLFOOD.NS,No,Yes
MARICO.NS,No,Yes
RELIANCE.NS,No,No
SIEMENS.NS,Yes,No
TATAPOWER.NS,Yes,No
TRENT.NS,Yes,No
ADANIPORTS.NS,-,Yes
BHARTIARTL.NS,-,No
CHAMBALFERT.NS,-,Yes
COALINDIA.NS,-,Yes
DEEPAKNTR.NS,-,Yes
DIXON.NS,-,No
DRREDDY.NS,-,No
ESCORTS.NS,-,Yes
HAVELLS.NS,-,No
HDFCBANK,-,Yes
ICICIGI.NS,-,No
INDIGO.NS,-,No
LALPATHLAB.NS,-,Yes
OBEROIRLTY.NS,-,Yes
ONGC.NS,-,Yes
SAIL.NS,-,Yes
PNB.NS,-,No
RAMCOCEM.NS,-,No
SBILIFE.NS,-,Yes
SRF.NS,-,Yes
TATACOMM.NS,-,Yes
TORNTPHARM.NS,-,No
WIPRO.NS,-,Yes
