trade_idea_id,ticker,first_signal_time,latest_signal_time,signal_count,sweep_low_time,sweep_low_price,first_signal_price,latest_signal_price,latest_signal_high,bull_fvg_lower,bull_fvg_upper,range_50,fvg_50,entry_price,entry_source,entry_model_ready,stop_price,risk,target_1r,target_2r,target_3r,entry_filled,entry_time,entry_delay_candles,stop_hit,stop_time,target_1r_hit,target_1r_time,target_2r_hit,target_2r_time,target_3r_hit,target_3r_time,first_terminal_event,final_status,max_favorable_r,max_adverse_r,best_score,latest_score,best_meter_probability,latest_meter_probability,isl_sweep,protected_lows,bull_fvg_retest,range_quality,range_width_atr,range_age,target_highs,target_distance_atr,deeper_isl_pending,deeper_isl_atr,atr_ratio,fvg_atr,last_updated_at
TORNTPHARM.NS_1774327500_0fda3ab022dc,TORNTPHARM.NS,1774338300,1774338300,1,1774327500,4161.2002,4251.3999,4251.3999,4267.0,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.0269,0.0269,0.51,0.51,False,0,False,,,,0,,False,,1.5,0.009,2026-05-13T09:46:06.264083+00:00
TATAPOWER.NS_1774341900_68a741b7b631,TATAPOWER.NS,1774413900,1774413900,1,1774341900,383.9,394.05,394.05,394.9,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.1731,0.1731,0.12,0.12,False,0,False,,,0,0,,False,,0.8,0.187,2026-05-13T09:46:06.264083+00:00
SUNPHARMA.NS_1774341900_e48f3c5984e8,SUNPHARMA.NS,1774428300,1774428300,1,1774341900,1745.6,1794.0,1794.0,1809.4,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.0768,0.0528,0.21894339622641512,0.1783,False,0,False,,,0,0,,False,,0.933,0.043,2026-05-13T09:46:06.264083+00:00
RAMCOCEM.NS_1774586700_516a3cca3168,RAMCOCEM.NS,1774601100,1774601100,1,1774586700,895.0,909.4,909.4,949.7,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,3.7026,3.5854,0.92,0.92,False,0,False,,,0,0,,False,,1.438,1.035,2026-05-13T09:46:06.264083+00:00
VEDL.NS_1774604700_bd87178586e4,VEDL.NS,1774842300,1774842300,1,1774604700,648.15,672.3,672.3,678.6,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.4182,0.2967,0.29083333333333333,0.1804,False,0,False,,,0,0,,False,,0.567,0.325,2026-05-13T09:46:06.264083+00:00
BSOFT.NS_1774842300_4be51bf3ebcf,BSOFT.NS,1774853100,1774853100,1,1774842300,325.05,343.45,343.45,344.1,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,15.3523,5.9054,0.92,0.65,False,0,False,,,0,0,,False,,0.812,2.184,2026-05-13T09:46:06.264083+00:00
GAIL.NS_1774842300_1ee543ec533d,GAIL.NS,1774853100,1774853100,1,1774842300,135.34,139.37,139.37,140.24,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,1.1497,1.1497,0.7128282152230971,0.7128,False,0,False,,,0,0,,False,,1.521,0.473,2026-05-13T09:46:06.264083+00:00
ABCAPITAL.NS_1774860300_537fcacd1814,ABCAPITAL.NS,1775015100,1775015100,1,1774860300,290.75,299.9,299.9,304.55,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.0274,0.0274,0.26,0.12,False,0,False,,,0,0,,False,,0.741,0.025,2026-05-13T09:46:06.264083+00:00
BAJAJFINSV.NS_1774860300_0d8d166578cd,BAJAJFINSV.NS,1775015100,1775015100,1,1774860300,1627.0,1664.4,1664.4,1682.7,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.4775,0.3292,0.23,0.12,False,0,False,,,0,0,,False,,0.722,0.184,2026-05-13T09:46:06.264083+00:00
BHARTIARTL.NS_1774860300_c274becf9216,BHARTIARTL.NS,1775015100,1775015100,1,1774860300,1775.0,1806.7,1806.7,1816.2,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.1986,0.1986,0.23,0.12,False,0,False,,,0,0,,False,,0.824,0.142,2026-05-13T09:46:06.264083+00:00
BHEL.NS_1774863900_25d5441cbcc5,BHEL.NS,1775015100,1775015100,1,1774863900,244.6,252.68,252.68,257.27,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,3.6253,1.614,0.92,0.6987,False,0,False,,,0,0,,False,,1.035,0.92,2026-05-13T09:46:06.264083+00:00
CROMPTON.NS_1774860300_8403f403e1ef,CROMPTON.NS,1775015100,1775015100,1,1774860300,222.25,231.84,231.84,232.36,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.5633,0.5114,0.49145597484276726,0.3401,False,0,False,,,0,0,,False,,1.093,0.322,2026-05-13T09:46:06.264083+00:00
HCLTECH.NS_1774860300_f8bf7705e91f,HCLTECH.NS,1775015100,1775015100,1,1774860300,1336.4,1380.6,1380.6,1391.8,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.6686,0.6686,0.3591666666666667,0.3575,False,0,False,,,0,0,,False,,0.953,0.549,2026-05-13T09:46:06.264083+00:00
HINDUNILVR.NS_1774853100_b5562e7358b0,HINDUNILVR.NS,1775015100,1775015100,1,1774853100,2046.3,2084.0,2084.0,2106.1001,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.2581,0.2211,0.3194716981132076,0.2649,False,0,False,,,0,0,,False,,1.068,0.074,2026-05-13T09:46:06.264083+00:00
INFY.NS_1774860300_ca82799cfefb,INFY.NS,1775015100,1775015100,1,1774860300,1243.0,1298.5,1298.5,1303.0,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.3918,0.3382,0.34513207547169816,0.29,False,0,False,,,0,0,,False,,1.107,0.227,2026-05-13T09:46:06.264083+00:00
JUBLFOOD.NS_1774860300_5f52f76ee891,JUBLFOOD.NS,1775015100,1775015100,1,1774860300,430.75,445.1,445.1,452.5,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.819,0.6874,0.49728439310652195,0.2974,False,0,False,,,0,0,,False,,0.928,0.437,2026-05-13T09:46:06.264083+00:00
TRENT.NS_1774856700_739ed5420b4e,TRENT.NS,1775015100,1775015100,1,1774856700,3275.6001,3511.2,3511.2,3537.6001,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.285,0.209,0.466679245283019,0.2444,False,0,False,,,0,0,,False,,1.036,0.138,2026-05-13T09:46:06.264083+00:00
WIPRO.NS_1774863900_25e22432402e,WIPRO.NS,1775015100,1775015100,1,1774863900,186.5,193.86,193.86,194.49,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,2.0855,1.519,0.92,0.6813,False,0,False,,,0,0,,False,,1.036,0.909,2026-05-13T09:46:06.264083+00:00
MPHASIS.NS_1774860300_a7b5528d251d,MPHASIS.NS,1775025900,1775025900,1,1774860300,2041.7,2160.7,2160.7,2164.7,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.5876,0.5876,0.44688836477987415,0.4037,False,0,False,,,0,0,,False,,1.13,0.415,2026-05-13T09:46:06.264083+00:00
BERGEPAINT.NS_1775101500_b8dec32ba9da,BERGEPAINT.NS,1775105100,1775105100,1,1775101500,405.75,419.45,419.45,420.5,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,2.0896,2.0896,0.8307688679245282,0.8308,False,0,False,33.5,3.252,13,0,,False,,1.383,0.621,2026-05-13T09:46:06.264083+00:00
GNFC.NS_1775105100_12636b710683,GNFC.NS,1775115900,1775115900,1,1775105100,375.6,398.0,398.0,399.85,367.2,381.85,387.725,374.525,387.725,range_50,True,375.6,12.125,399.85,411.975,424.1,False,,,,,,,,,,,,no_entry_yet,,,5.4697,5.2124,0.92,0.92,False,0,True,,,0,0,,False,,1.27,2.094,2026-05-13T09:46:06.264083+00:00
CHAMBLFERT.NS_1775101500_f42fc6a9b74e,CHAMBLFERT.NS,1775119500,1775119500,1,1775101500,433.6,452.65,452.65,453.0,430.7,437.55,443.3,434.125,443.3,range_50,True,433.6,9.7,453.0,462.7,472.4,True,1775533500,9,True,1778575500,True,1775619900,True,1775630700,True,1775706300,target_1r,target_1r,3.124,-1.577,3.0455,3.0455,0.92,0.92,False,0,True,,,0,0,,False,,1.294,1.03,2026-05-13T09:46:06.264083+00:00
COALINDIA.NS_1775105100_1b439015933b,COALINDIA.NS,1775119500,1775119500,1,1775105100,440.75,449.9,449.9,451.85,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,1.9847,1.9847,0.92,0.8608,False,0,False,26.0,4.047,13,2,1.808,False,,1.455,0.59,2026-05-13T09:46:06.264083+00:00
CUMMINSIND.NS_1775105100_b3fcf0f6ee88,CUMMINSIND.NS,1775119500,1775119500,1,1775105100,4470.0,4654.8999,4654.8999,4668.0,,,4569.0,4482.8,4569.0,,False,4470.0,99.0,4668.0,4767.0,4866.0,True,1775533500,9,,,True,1775533500,True,1775619900,True,1775706300,target_1r,entry_model_unavailable,7.939,-0.06,4.3015,4.3015,0.6997735849056604,0.6598,False,0,False,43.8,2.757,14,0,,True,0.207,0.982,1.384,2026-05-13T09:46:06.264083+00:00
GAIL.NS_1775101500_20dad89aa216,GAIL.NS,1775119500,1775119500,1,1775101500,137.5,141.68,141.68,141.97,,,139.735,137.46,139.735,,False,137.5,2.235,141.97,144.205,146.44,False,,,,,,,,,,,,entry_model_unavailable,,,6.8255,6.8255,0.92,0.8848,False,0,False,48.6,3.145,21,1,0.202,False,,1.208,1.905,2026-05-13T09:46:06.264083+00:00
MARICO.NS_1775101500_97f7b537fd95,MARICO.NS,1775119500,1775119500,1,1775101500,729.0,760.9,760.9,767.55,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,1.2121,1.2121,0.46658897637795277,0.4666,True,1,False,,,0,0,,False,,0.907,0.552,2026-05-13T09:46:06.264083+00:00
MPHASIS.NS_1775101500_d7c893a04eca,MPHASIS.NS,1775119500,1775119500,1,1775101500,2088.1001,2217.0,2217.0,2238.8999,2075.0,2131.3999,2163.5,2103.2,2163.5,range_50,True,2088.1001,75.3999,2238.8999,2314.2998,2389.6997,True,1777009500,91,,,True,1777261500,True,1777434300,,,target_1r,target_1r,2.459,-0.542,0.1737,0.1737,0.39475471698113207,0.3948,False,0,True,21.3,4.485,9,0,,True,1.755,1.208,0.064,2026-05-13T09:46:06.264083+00:00
OBEROIRLTY.NS_1775101500_0ec3ac608f49,OBEROIRLTY.NS,1775119500,1775119500,1,1775101500,1414.0,1510.2,1510.2,1513.1,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,1.7088,1.7088,0.7729040682414698,0.7729,False,0,False,,,0,0,,True,0.288,2.248,0.619,2026-05-13T09:46:06.264083+00:00
TRENT.NS_1775105100_101ae3e1293a,TRENT.NS,1775119500,1775119500,1,1775105100,3401.3999,3558.7,3558.7,3567.3999,3306.6001,3467.8,3484.3999,3387.2001,3484.3999,range_50,True,3401.3999,83.0,3567.3999,3650.3999,3733.3999,False,,,,,,,,,,,,no_entry_yet,,,2.3716,2.2948,0.7926037735849056,0.7823,False,0,True,,,0,0,,False,,0.986,1.473,2026-05-13T09:46:06.264083+00:00
